date,open,high,low,close,volume,hold,settle,品种,交易所,合约代码
2018-08-17,99.4,99.405,99.075,99.16,8559,0,0.0,2年期国债期货,CFFEX,TS0
2018-08-20,99.1,99.26,99.1,99.215,1865,0,0.0,2年期国债期货,CFFEX,TS0
2018-08-21,99.185,99.235,99.12,99.185,1339,0,0.0,2年期国债期货,CFFEX,TS0
2018-08-22,99.235,99.29,99.19,99.2,1225,0,0.0,2年期国债期货,CFFEX,TS0
2018-08-23,99.28,99.28,99.225,99.275,819,0,0.0,2年期国债期货,CFFEX,TS0
2018-08-24,99.305,99.38,99.29,99.31,464,0,0.0,2年期国债期货,CFFEX,TS0
2018-08-27,99.27,99.3,99.205,99.27,671,0,0.0,2年期国债期货,CFFEX,TS0
2018-08-28,99.215,99.315,99.185,99.275,574,0,0.0,2年期国债期货,CFFEX,TS0
2018-08-29,99.27,99.32,99.225,99.31,210,0,0.0,2年期国债期货,CFFEX,TS0
2018-08-30,99.335,99.435,99.3,99.365,533,0,0.0,2年期国债期货,CFFEX,TS0
2018-08-31,99.36,99.4,99.315,99.375,239,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-03,99.35,99.365,99.31,99.33,108,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-04,99.315,99.315,99.265,99.28,90,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-05,99.29,99.315,99.275,99.275,109,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-06,99.29,99.305,99.265,99.27,204,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-07,99.26,99.28,99.245,99.255,360,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-10,99.25,99.275,99.22,99.25,393,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-11,99.26,99.265,99.205,99.24,383,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-12,99.25,99.255,99.22,99.24,365,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-13,99.225,99.31,99.22,99.27,267,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-14,99.295,99.305,99.275,99.3,129,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-17,99.405,99.405,99.325,99.345,163,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-18,99.385,99.385,99.335,99.34,126,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-19,99.35,99.375,99.31,99.31,262,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-20,99.27,99.3,99.25,99.275,163,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-21,99.27,99.32,99.27,99.32,140,0,99.3,2年期国债期货,CFFEX,TS0
2018-09-25,99.305,99.33,99.28,99.295,136,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-26,99.28,99.345,99.275,99.34,168,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-27,99.38,99.4,99.345,99.395,205,0,0.0,2年期国债期货,CFFEX,TS0
2018-09-28,99.45,99.45,99.36,99.39,191,0,99.395,2年期国债期货,CFFEX,TS0
2018-10-08,99.38,99.405,99.32,99.385,162,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-09,99.385,99.505,99.385,99.45,271,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-10,99.48,99.48,99.43,99.45,195,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-11,99.54,99.55,99.485,99.515,208,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-12,99.505,99.53,99.495,99.525,119,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-15,99.52,99.525,99.505,99.51,63,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-16,99.495,99.535,99.475,99.535,280,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-17,99.52,99.545,99.51,99.52,90,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-18,99.535,99.56,99.525,99.535,97,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-19,99.525,99.56,99.47,99.49,277,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-22,99.45,99.46,99.43,99.44,172,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-23,99.41,99.49,99.41,99.485,153,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-24,99.47,99.51,99.47,99.505,73,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-25,99.55,99.6,99.52,99.53,114,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-26,99.515,99.54,99.505,99.53,57,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-29,99.55,99.625,99.53,99.615,179,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-30,99.65,99.65,99.565,99.61,249,0,0.0,2年期国债期货,CFFEX,TS0
2018-10-31,99.595,99.635,99.575,99.635,204,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-01,99.63,99.655,99.6,99.64,315,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-02,99.595,99.645,99.555,99.61,428,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-05,99.57,99.665,99.57,99.655,566,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-06,99.65,99.78,99.64,99.78,729,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-07,99.755,99.9,99.715,99.885,656,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-08,99.83,99.96,99.83,99.945,445,0,99.945,2年期国债期货,CFFEX,TS0
2018-11-09,99.935,99.97,99.89,99.9,282,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-12,99.92,99.92,99.88,99.9,231,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-13,99.95,99.95,99.88,99.885,53,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-14,99.945,100.095,99.93,100.05,254,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-15,100.05,100.1,100.05,100.055,85,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-16,100.06,100.1,100.005,100.075,100,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-19,100.06,100.08,100.02,100.025,110,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-20,100.045,100.09,100.03,100.035,69,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-21,100.105,100.14,100.035,100.04,58,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-22,100.05,100.065,99.97,99.975,242,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-23,100.0,100.025,99.96,99.975,116,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-26,99.995,100.015,99.925,99.96,188,0,0.0,2年期国债期货,CFFEX,TS0
2018-11-27,99.95,100.0,99.93,99.985,134,0,0.0,2年期国债期货,CFFEX,TS0
